BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),TotalGHGEmissions,number_of_activities,ratio_parking,ratio_building,ratio_dominant_use,building_age,supericie_by_building,superficie_by_activity
NonResidential,Retail Store,7,LAKE UNION,47.62237,-122.33805,1.0,2,10.97370036668254,0,58320,13.864061288709907,3.665098925448533,1,0.0,1.0,1.2358024691358025,87,29160.0,58320.0
NonResidential,Large Office,7,LAKE UNION,47.62424,-122.33646,1.0,5,12.664465378446737,0,316306,16.439885918733513,4.933394213752808,4,0.0,1.0,0.8277617244061131,6,63261.2,79076.5
NonResidential,Hotel,3,LAKE UNION,47.62642,-122.33325,1.0,7,12.552717960471723,44766,238097,16.78383586840935,6.266915878045537,2,0.15826035925518714,0.8417396407448129,0.8335766784627187,26,34013.857142857145,141431.5
NonResidential,Large Office,7,LAKE UNION,47.62112,-122.33629,1.0,12,13.255720504845556,0,571329,17.494488352040598,6.425711456641598,3,0.0,1.0,1.048084378702989,6,47610.75,190443.0
Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1.0,1,11.01363307701791,0,60696,13.683056656066642,1.809926773183504,1,0.0,1.0,1.7793594306049823,88,60696.0,60696.0
NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,47.62391,-122.34837,0.0,2,11.101039789059142,2352,63888,15.242540409863079,3.3686741899565953,5,0.035507246376811595,0.9644927536231884,0.6929347826086957,30,31944.0,13248.0
NonResidential,Large Office,7,MAGNOLIA / QUEEN ANNE,47.62419,-122.34443,1.0,6,13.73277873786672,303707,616891,17.41738892594472,6.513363633155086,3,0.3299018681335393,0.6700981318664607,0.7925109548358784,6,102815.16666666667,306866.0
NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,47.62053,-122.35842,1.0,4,11.241287330798126,25930,50283,15.061453896985611,3.8869103046130706,3,0.3402306693083857,0.6597693306916143,0.6369779433954837,46,12570.75,25404.333333333332
NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62291,-122.35708,1.0,6,11.481537991728596,36934,59976,15.455587950632975,5.024801149569155,2,0.3811164998452172,0.6188835001547828,0.6188835001547828,14,9996.0,48455.0
NonResidential,Hotel,4,NORTHEAST,47.65772,-122.31756,2.0,4,10.82011822662338,0,50017,15.510938075556913,5.2533200006173,2,0.0,1.0,1.0,54,12504.25,25008.5
